Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7, Channel 8
0.000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0
23.277526999999999, 0, 1, 0, 0, 0, 0, 0, 0, 0
23.282579999999999, 0, 1, 0, 0, 0, 0, 0, 0, 1
23.283009000000000, 0, 1, 0, 1, 0, 0, 0, 0, 1
23.283158999999998, 0, 1, 0, 1, 1, 0, 0, 0, 1
23.285854999999998, 0, 1, 0, 1, 1, 1, 0, 0, 1
23.286308999999999, 0, 1, 0, 1, 1, 1, 0, 1, 1
23.294605000000001, 0, 1, 0, 1, 1, 1, 1, 1, 1
23.564997999999999, 0, 0, 0, 1, 1, 1, 1, 1, 1
23.567619000000001, 0, 0, 0, 1, 1, 1, 1, 1, 0
23.568251000000000, 0, 0, 0, 0, 1, 1, 1, 1, 0
23.568546999999999, 0, 0, 0, 0, 0, 1, 1, 1, 0
23.572640999999997, 0, 0, 0, 0, 0, 0, 1, 1, 0
23.573390000000000, 0, 0, 0, 0, 0, 0, 1, 0, 0
23.581516000000001, 0, 0, 0, 0, 0, 0, 0, 0, 0
24.284368999999998, 0, 0, 0, 0, 0, 0, 0, 0, 1
24.569409999999998, 0, 0, 0, 0, 0, 0, 0, 0, 0
25.280165000000000, 1, 0, 0, 0, 0, 0, 0, 0, 0
25.285820999999999, 1, 0, 0, 0, 0, 0, 0, 0, 1
25.566300999999999, 0, 0, 0, 0, 0, 0, 0, 0, 1
25.570858999999999, 0, 0, 0, 0, 0, 0, 0, 0, 0
26.282961999999998, 0, 0, 1, 0, 0, 0, 0, 0, 0
26.287188000000000, 0, 0, 1, 0, 0, 0, 0, 0, 1
26.569633000000000, 0, 0, 0, 0, 0, 0, 0, 0, 1
26.572205999999998, 0, 0, 0, 0, 0, 0, 0, 0, 0
47.285168999999996, 0, 1, 0, 0, 0, 0, 0, 0, 0
47.290557999999997, 0, 1, 0, 0, 0, 0, 0, 0, 1
47.290651999999994, 0, 1, 0, 1, 0, 0, 0, 0, 1
47.290886999999998, 0, 1, 0, 1, 1, 0, 0, 0, 1
47.293496999999995, 0, 1, 0, 1, 1, 1, 0, 0, 1
47.293783999999995, 0, 1, 0, 1, 1, 1, 0, 1, 1
47.305607999999999, 0, 1, 0, 1, 1, 1, 1, 1, 1
47.379807999999997, 0, 1, 0, 1, 0, 1, 1, 1, 1
47.389409000000001, 0, 1, 0, 1, 0, 0, 1, 1, 1
47.402118999999999, 0, 1, 0, 1, 0, 0, 1, 0, 1
47.423333999999997, 0, 0, 0, 1, 0, 0, 1, 0, 1
47.575596999999995, 0, 0, 0, 1, 0, 0, 1, 0, 0
47.575888999999997, 0, 0, 0, 0, 0, 0, 1, 0, 0
47.592527999999994, 0, 0, 0, 0, 0, 0, 0, 0, 0
48.286355000000000, 1, 0, 0, 0, 0, 0, 0, 0, 0
48.292009999999998, 1, 0, 0, 0, 0, 0, 0, 0, 1
48.572496000000001, 0, 0, 0, 0, 0, 0, 0, 0, 1
48.577050999999997, 0, 0, 0, 0, 0, 0, 0, 0, 0
