Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7, Channel 8
0.000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0
6.530391000000000, 1, 0, 0, 0, 0, 0, 0, 0, 0
6.530573000000000, 1, 1, 0, 0, 0, 0, 0, 0, 0
6.531736000000000, 1, 1, 1, 0, 0, 0, 0, 0, 0
6.535965999999999, 1, 1, 1, 0, 0, 0, 0, 0, 1
6.536198000000000, 1, 1, 1, 0, 1, 0, 0, 0, 1
6.536307000000000, 1, 1, 1, 1, 1, 0, 0, 0, 1
6.536384000000000, 1, 1, 1, 1, 1, 1, 0, 0, 1
6.545563000000000, 1, 1, 1, 1, 1, 1, 0, 1, 1
6.550929000000000, 1, 1, 1, 1, 1, 1, 1, 1, 1
6.741286000000000, 1, 1, 0, 1, 1, 1, 1, 1, 1
6.803868000000000, 1, 1, 0, 0, 1, 1, 1, 1, 1
6.804518000000000, 1, 1, 0, 0, 1, 1, 1, 0, 1
6.816610000000000, 0, 1, 0, 0, 1, 1, 1, 0, 1
6.818108000000000, 0, 0, 0, 0, 1, 1, 1, 0, 1
6.821075000000000, 0, 0, 0, 0, 1, 1, 1, 0, 0
6.821667000000000, 0, 0, 0, 0, 0, 1, 1, 0, 0
6.823233000000000, 0, 0, 0, 0, 0, 0, 1, 0, 0
6.837936000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0
7.532108000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0
7.537650999999999, 0, 1, 0, 0, 1, 0, 0, 0, 0
7.537836000000000, 0, 1, 0, 0, 1, 1, 0, 0, 0
7.540109999999999, 0, 1, 0, 0, 1, 1, 0, 0, 1
7.685156999999999, 0, 1, 0, 0, 1, 0, 0, 0, 1
7.717607999999999, 0, 1, 0, 0, 0, 0, 0, 0, 1
7.819655999999999, 0, 0, 0, 0, 0, 0, 0, 0, 1
7.825221999999999, 0, 0, 0, 0, 0, 0, 0, 0, 0
8.533560000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0
8.540960999999999, 0, 1, 0, 0, 0, 0, 0, 0, 1
8.640561999999999, 0, 0, 0, 0, 0, 0, 0, 0, 1
8.826057000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0
9.542411999999999, 0, 0, 0, 0, 0, 0, 0, 0, 1
9.827525000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0
10.544464999999999, 0, 0, 0, 0, 0, 0, 0, 0, 1
10.829570000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0
11.538995000000000, 0, 0, 1, 0, 0, 0, 0, 0, 0
11.545316000000000, 0, 0, 1, 0, 0, 0, 0, 0, 1
11.666934999999999, 0, 0, 1, 0, 0, 0, 1, 0, 1
11.825726000000000, 0, 0, 0, 0, 0, 0, 1, 0, 1
11.830421999999999, 0, 0, 0, 0, 0, 0, 1, 0, 0
11.879686999999999, 0, 0, 0, 0, 0, 0, 0, 0, 0
12.539190999999999, 1, 0, 0, 0, 0, 0, 0, 0, 0
12.539282000000000, 1, 1, 0, 0, 0, 0, 0, 0, 0
12.544824000000000, 1, 1, 0, 0, 1, 0, 0, 0, 0
12.545007000000000, 1, 1, 0, 0, 1, 1, 0, 0, 0
12.545017999999999, 1, 1, 0, 1, 1, 1, 0, 0, 0
12.546768000000000, 1, 1, 0, 1, 1, 1, 0, 0, 1
12.554186999999999, 1, 1, 0, 1, 1, 1, 0, 1, 1
12.782204000000000, 0, 1, 0, 1, 1, 1, 0, 1, 1
12.826832999999999, 0, 0, 0, 1, 1, 1, 0, 1, 1
12.830307999999999, 0, 0, 0, 1, 0, 1, 0, 1, 1
12.830345999999999, 0, 0, 0, 0, 0, 1, 0, 1, 1
12.831863999999999, 0, 0, 0, 0, 0, 0, 0, 1, 1
12.831864999999999, 0, 0, 0, 0, 0, 0, 0, 1, 0
12.841337999999999, 0, 0, 0, 0, 0, 0, 0, 0, 0
13.546298999999999, 0, 0, 0, 0, 0, 0, 0, 0, 1
13.831382999999999, 0, 0, 0, 0, 0, 0, 0, 0, 0
14.547751000000000, 0, 0, 0, 0, 0, 0, 0, 0, 1
14.832842999999999, 0, 0, 0, 0, 0, 0, 0, 0, 0
15.551122999999999, 0, 0, 0, 0, 0, 0, 0, 0, 1
15.836226000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0
16.550653999999998, 0, 0, 0, 0, 0, 0, 0, 0, 1
16.571867000000001, 0, 0, 0, 0, 0, 0, 1, 0, 1
16.681099000000000, 0, 0, 1, 0, 0, 0, 1, 0, 1
16.835760000000001, 0, 0, 1, 0, 0, 0, 1, 0, 0
16.858858999999999, 0, 0, 1, 0, 0, 0, 0, 0, 0
16.967849999999999, 0, 0, 0, 0, 0, 0, 0, 0, 0
17.546360000000000, 1, 0, 0, 0, 0, 0, 0, 0, 0
17.546626000000000, 1, 1, 0, 0, 0, 0, 0, 0, 0
17.552105999999998, 1, 1, 0, 0, 0, 0, 0, 0, 1
17.552167999999998, 1, 1, 0, 0, 1, 0, 0, 0, 1
17.552353999999998, 1, 1, 0, 0, 1, 1, 0, 0, 1
17.832570999999998, 0, 1, 0, 0, 1, 1, 0, 0, 1
17.834170000000000, 0, 0, 0, 0, 1, 1, 0, 0, 1
17.837205000000001, 0, 0, 0, 0, 1, 1, 0, 0, 0
17.837650000000000, 0, 0, 0, 0, 0, 1, 0, 0, 0
17.839223000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0
18.553557999999999, 0, 0, 0, 0, 0, 0, 0, 0, 1
18.556249999999999, 0, 0, 0, 1, 0, 0, 0, 0, 1
18.752799000000000, 0, 0, 0, 1, 0, 0, 0, 1, 1
18.838656999999998, 0, 0, 0, 1, 0, 0, 0, 1, 0
18.841590000000000, 0, 0, 0, 0, 0, 0, 0, 1, 0
19.039964999999999, 0, 0, 0, 0, 0, 0, 0, 0, 0
19.556929999999998, 0, 0, 0, 0, 0, 0, 0, 0, 1
19.842036999999998, 0, 0, 0, 0, 0, 0, 0, 0, 0
20.556460999999999, 0, 0, 0, 0, 0, 0, 0, 0, 1
20.841571999999999, 0, 0, 0, 0, 0, 0, 0, 0, 0
21.557912999999999, 0, 0, 0, 0, 0, 0, 0, 0, 1
21.779530999999999, 0, 0, 1, 0, 0, 0, 0, 0, 1
21.843015999999999, 0, 0, 1, 0, 0, 0, 0, 0, 0
22.066278000000001, 0, 0, 0, 0, 0, 0, 0, 0, 0
22.553884000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0
22.559426999999999, 0, 1, 0, 0, 1, 0, 0, 0, 0
22.559612999999999, 0, 1, 0, 0, 1, 1, 0, 0, 0
22.561886999999999, 0, 1, 0, 0, 1, 1, 0, 0, 1
22.580938999999997, 0, 1, 0, 0, 1, 1, 1, 0, 1
22.841426999999999, 0, 0, 0, 0, 1, 1, 1, 0, 1
22.844895999999999, 0, 0, 0, 0, 0, 1, 1, 0, 1
22.846460999999998, 0, 0, 0, 0, 0, 0, 1, 0, 1
22.846992000000000, 0, 0, 0, 0, 0, 0, 1, 0, 0
22.867926999999998, 0, 0, 0, 0, 0, 0, 0, 0, 0
23.555159000000000, 1, 0, 0, 0, 0, 0, 0, 0, 0
23.560815999999999, 1, 0, 0, 0, 0, 0, 0, 0, 1
23.841379999999997, 0, 0, 0, 0, 0, 0, 0, 0, 1
23.845911999999998, 0, 0, 0, 0, 0, 0, 0, 0, 0
24.564188999999999, 0, 0, 0, 0, 0, 0, 0, 0, 1
24.564874999999997, 0, 0, 0, 1, 0, 0, 0, 0, 1
24.849287000000000, 0, 0, 0, 1, 0, 0, 0, 0, 0
24.850211999999999, 0, 0, 0, 0, 0, 0, 0, 0, 0
25.563718999999999, 0, 0, 0, 0, 0, 0, 0, 0, 1
25.573145999999998, 0, 0, 0, 0, 0, 0, 0, 1, 1
25.848817000000000, 0, 0, 0, 0, 0, 0, 0, 1, 0
25.860302999999998, 0, 0, 0, 0, 0, 0, 0, 0, 0
26.565170999999999, 0, 0, 0, 0, 0, 0, 0, 0, 1
26.850261000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0
27.562307999999998, 0, 0, 1, 0, 0, 0, 0, 0, 0
27.566685000000000, 0, 0, 1, 0, 1, 0, 0, 0, 0
27.568543999999999, 0, 0, 1, 0, 1, 0, 0, 0, 1
27.573190999999998, 0, 0, 1, 0, 1, 1, 0, 0, 1
27.597721999999997, 0, 1, 1, 0, 1, 1, 0, 0, 1
27.796409999999998, 0, 1, 1, 0, 1, 1, 1, 0, 1
27.849048000000000, 0, 1, 0, 0, 1, 1, 1, 0, 1
27.852167999999999, 0, 1, 0, 0, 0, 1, 1, 0, 1
27.853634000000000, 0, 1, 0, 0, 0, 1, 1, 0, 0
27.860049000000000, 0, 1, 0, 0, 0, 0, 1, 0, 0
27.885278000000000, 0, 0, 0, 0, 0, 0, 1, 0, 0
28.083406000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0
28.569994999999999, 0, 0, 0, 0, 0, 0, 0, 0, 1
28.855093999999998, 0, 0, 0, 0, 0, 0, 0, 0, 0
29.563869000000000, 1, 0, 0, 0, 0, 0, 0, 0, 0
29.572049000000000, 1, 0, 0, 0, 0, 0, 0, 0, 1
29.850088000000000, 0, 0, 0, 0, 0, 0, 0, 0, 1
29.857149000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0
30.570978000000000, 0, 0, 0, 0, 0, 0, 0, 0, 1
30.573670000000000, 0, 0, 0, 1, 0, 0, 0, 0, 1
30.856088999999997, 0, 0, 0, 1, 0, 0, 0, 0, 0
30.858998999999997, 0, 0, 0, 0, 0, 0, 0, 0, 0
31.574349999999999, 0, 0, 0, 0, 0, 0, 0, 0, 1
31.859449999999999, 0, 0, 0, 0, 0, 0, 0, 0, 0
32.568401000000001, 0, 1, 0, 0, 0, 0, 0, 0, 0
32.573881000000000, 0, 1, 0, 0, 0, 0, 0, 0, 1
32.574128999999999, 0, 1, 0, 0, 0, 1, 0, 0, 1
32.583307999999995, 0, 1, 0, 0, 0, 1, 0, 1, 1
32.625777999999997, 0, 1, 1, 0, 0, 1, 0, 1, 1
32.691271000000000, 0, 1, 1, 0, 1, 1, 0, 1, 1
32.855950999999997, 0, 0, 1, 0, 1, 1, 0, 1, 1
32.858989999999999, 0, 0, 1, 0, 1, 1, 0, 1, 0
32.860984000000002, 0, 0, 1, 0, 1, 0, 0, 1, 0
32.870455000000000, 0, 0, 1, 0, 1, 0, 0, 0, 0
32.912037999999995, 0, 0, 0, 0, 1, 0, 0, 0, 0
32.976751999999998, 0, 0, 0, 0, 0, 0, 0, 0, 0
33.575333000000001, 0, 0, 0, 0, 0, 0, 0, 0, 1
33.596907000000002, 0, 0, 0, 0, 0, 0, 1, 0, 1
33.860433999999998, 0, 0, 0, 0, 0, 0, 1, 0, 0
33.883897999999995, 0, 0, 0, 0, 0, 0, 0, 0, 0
34.576783999999996, 0, 0, 0, 0, 0, 0, 0, 0, 1
34.822271000000001, 1, 0, 0, 0, 0, 0, 0, 0, 1
34.861874999999998, 1, 0, 0, 0, 0, 0, 0, 0, 0
