Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 1, 1, 1, 1, 1, 1, 1, 1
3.290190000000000, 1, 1, 1, 1, 1, 1, 0, 1
4.666335000000000, 0, 1, 1, 1, 1, 1, 0, 1
6.528022000000000, 0, 1, 1, 1, 1, 1, 1, 1
8.056134000000000, 1, 1, 1, 1, 1, 1, 1, 1
8.661455000000000, 1, 1, 1, 0, 1, 1, 1, 1
10.922913999999999, 1, 1, 1, 0, 1, 1, 1, 0
12.211266000000000, 1, 1, 1, 1, 1, 1, 1, 0
15.170095999999999, 1, 1, 1, 1, 1, 1, 1, 1
22.092437999999998, 1, 1, 0, 1, 1, 1, 1, 1
25.301387999999999, 1, 1, 1, 1, 1, 1, 1, 1
25.320627999999999, 1, 1, 1, 1, 1, 1, 0, 1
26.125751999999999, 0, 1, 1, 1, 1, 1, 0, 1
26.414014999999999, 0, 1, 1, 1, 1, 1, 0, 0
28.558733000000000, 0, 1, 1, 1, 1, 1, 1, 0
29.749879000000000, 1, 1, 1, 1, 1, 1, 1, 0
30.076359000000000, 1, 1, 1, 0, 1, 1, 1, 0
30.661822999999998, 1, 1, 1, 0, 1, 1, 1, 1
33.626647999999996, 1, 1, 1, 1, 1, 1, 1, 1
41.906723000000000, 1, 1, 1, 1, 1, 1, 1, 0
46.152619000000001, 1, 1, 1, 1, 1, 1, 1, 1
47.414484999999999, 1, 1, 1, 1, 1, 1, 0, 1
47.646401999999995, 0, 1, 1, 1, 1, 1, 0, 1
50.653146999999997, 0, 1, 1, 1, 1, 1, 1, 1
51.037725999999999, 1, 1, 1, 1, 1, 1, 1, 1
51.493012000000000, 1, 1, 1, 0, 1, 1, 1, 1
55.291019999999996, 1, 1, 1, 1, 1, 1, 1, 1
57.336053000000000, 1, 1, 1, 1, 1, 1, 1, 0
61.373109999999997, 1, 1, 0, 1, 1, 1, 1, 0
61.582356999999995, 1, 1, 0, 1, 1, 1, 1, 1
64.815589000000003, 1, 1, 1, 1, 1, 1, 1, 1
67.773247999999995, 1, 1, 1, 1, 1, 1, 0, 1
69.048948999999993, 0, 1, 1, 1, 1, 1, 0, 1
71.012935999999996, 0, 1, 1, 1, 1, 1, 1, 1
72.729927000000004, 1, 1, 1, 1, 1, 1, 1, 1
72.764498000000003, 1, 1, 1, 1, 1, 1, 1, 0
73.530596000000003, 1, 1, 1, 0, 1, 1, 1, 0
77.011073999999994, 1, 1, 1, 0, 1, 1, 1, 1
77.079518999999991, 1, 1, 1, 1, 1, 1, 1, 1
85.312274000000002, 1, 1, 1, 1, 0, 1, 1, 1
88.254444999999990, 1, 1, 1, 1, 0, 1, 1, 0
88.555247999999992, 1, 1, 1, 1, 1, 1, 1, 0
89.161638999999994, 1, 1, 1, 1, 1, 1, 0, 0
91.086243999999994, 0, 1, 1, 1, 1, 1, 0, 0
92.255332999999993, 0, 1, 1, 1, 1, 1, 0, 1
92.401398999999998, 0, 1, 1, 1, 1, 1, 1, 1
94.534476999999995, 1, 1, 1, 1, 1, 1, 1, 1
94.820613999999992, 1, 1, 1, 0, 1, 1, 1, 1
98.368220999999991, 1, 1, 1, 1, 1, 1, 1, 1
100.528976000000000, 1, 1, 0, 1, 1, 1, 1, 1
102.509209999999996, 1, 1, 0, 1, 1, 1, 1, 0
103.739424000000000, 1, 1, 1, 1, 1, 1, 1, 0
106.508355999999992, 1, 1, 1, 1, 1, 1, 1, 1
111.128721999999996, 1, 1, 1, 1, 1, 1, 0, 1
112.834716000000000, 0, 1, 1, 1, 1, 1, 0, 1
114.366422999999998, 0, 1, 1, 1, 1, 1, 1, 1
116.233649999999997, 0, 1, 1, 0, 1, 1, 1, 1
116.281327999999988, 1, 1, 1, 0, 1, 1, 1, 1
116.824273999999988, 1, 1, 1, 0, 1, 1, 1, 0
120.031438999999992, 1, 1, 1, 1, 1, 1, 1, 0
120.821891999999991, 1, 1, 1, 1, 1, 1, 1, 1
131.071947999999992, 1, 1, 1, 1, 1, 1, 1, 0
132.843536999999998, 0, 1, 1, 1, 1, 1, 1, 0
133.221710999999999, 0, 1, 1, 1, 1, 1, 0, 0
135.069646000000006, 0, 1, 1, 1, 1, 1, 0, 1
136.234691999999995, 1, 1, 1, 1, 1, 1, 0, 1
136.717973000000001, 1, 1, 1, 1, 1, 1, 1, 1
137.771281999999985, 1, 1, 1, 0, 1, 1, 1, 1
138.219667999999984, 1, 1, 0, 0, 1, 1, 1, 1
141.321005999999983, 1, 1, 0, 1, 1, 1, 1, 1
141.603862999999990, 1, 1, 1, 1, 1, 1, 1, 1
145.319534000000004, 1, 1, 1, 1, 1, 1, 1, 0
149.319222999999994, 1, 1, 1, 1, 1, 1, 1, 1
154.128836000000007, 0, 1, 1, 1, 1, 1, 1, 1
155.315251999999987, 0, 1, 1, 1, 1, 1, 0, 1
157.575667999999979, 1, 1, 1, 1, 1, 1, 0, 1
