Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 0, 1, 0, 0, 0, 0, 0, 0
1.044920000000000, 0, 1, 1, 0, 0, 0, 0, 0
1.643984000000000, 0, 1, 1, 0, 0, 0, 1, 0
2.096506000000000, 0, 0, 1, 0, 0, 0, 1, 0
3.582779000000000, 0, 0, 1, 0, 1, 0, 1, 0
4.012776000000000, 0, 0, 0, 0, 1, 0, 1, 0
4.389207000000000, 0, 0, 0, 0, 1, 0, 0, 0
4.450189000000000, 0, 0, 0, 1, 1, 0, 0, 0
5.411967000000000, 1, 0, 0, 1, 1, 0, 0, 0
7.014612000000000, 1, 0, 0, 1, 0, 0, 0, 0
7.552853000000000, 1, 0, 0, 0, 0, 0, 0, 0
8.623073000000000, 0, 0, 0, 0, 0, 0, 0, 0
9.388228999999999, 0, 0, 0, 0, 0, 1, 0, 0
12.472484000000000, 0, 0, 0, 0, 0, 0, 0, 0
15.107244999999999, 0, 1, 0, 0, 0, 0, 0, 0
15.833964999999999, 0, 1, 0, 0, 0, 0, 0, 1
18.292952000000000, 0, 0, 0, 0, 0, 0, 0, 1
18.667574999999999, 0, 0, 1, 0, 0, 0, 0, 1
18.799609999999998, 0, 0, 1, 0, 0, 0, 0, 0
18.992763999999998, 0, 0, 1, 0, 0, 0, 1, 0
21.210159999999998, 0, 0, 1, 0, 1, 0, 1, 0
21.638836999999999, 0, 0, 0, 0, 1, 0, 1, 0
21.738565999999999, 0, 0, 0, 0, 1, 0, 0, 0
23.942836999999997, 0, 0, 0, 1, 1, 0, 0, 0
24.377281999999997, 1, 0, 0, 1, 1, 0, 0, 0
24.704580000000000, 1, 0, 0, 1, 0, 0, 0, 0
26.000425999999997, 1, 0, 0, 1, 0, 1, 0, 0
26.981221999999999, 1, 0, 0, 0, 0, 1, 0, 0
27.532662999999999, 0, 0, 0, 0, 0, 1, 0, 0
29.023242000000000, 0, 0, 0, 0, 0, 0, 0, 0
31.306355999999997, 0, 1, 0, 0, 0, 0, 0, 0
34.553877000000000, 0, 0, 0, 0, 0, 0, 0, 0
36.349657000000001, 0, 0, 1, 0, 0, 0, 0, 0
36.470841999999998, 0, 0, 1, 0, 0, 0, 1, 0
39.081921000000001, 0, 0, 1, 0, 1, 0, 1, 0
39.205151000000001, 0, 0, 1, 0, 1, 0, 0, 0
39.258914999999995, 0, 0, 0, 0, 1, 0, 0, 0
41.062773999999997, 0, 0, 0, 0, 1, 0, 0, 1
42.423786999999997, 0, 0, 0, 0, 1, 1, 0, 1
42.577582000000000, 0, 0, 0, 0, 0, 1, 0, 1
43.112114999999996, 1, 0, 0, 0, 0, 1, 0, 1
43.374043999999998, 1, 0, 0, 1, 0, 1, 0, 1
43.963836000000001, 1, 0, 0, 1, 0, 1, 0, 0
45.444434999999999, 1, 0, 0, 1, 0, 0, 0, 0
46.267275999999995, 0, 0, 0, 1, 0, 0, 0, 0
46.474879999999999, 0, 0, 0, 0, 0, 0, 0, 0
47.763129999999997, 0, 1, 0, 0, 0, 0, 0, 0
51.013179000000001, 0, 0, 0, 0, 0, 0, 0, 0
53.883921999999998, 0, 0, 0, 0, 0, 0, 1, 0
53.972822999999998, 0, 0, 1, 0, 0, 0, 1, 0
56.629484999999995, 0, 0, 1, 0, 0, 0, 0, 0
56.943123999999997, 0, 0, 0, 0, 0, 0, 0, 0
56.953004999999997, 0, 0, 0, 0, 1, 0, 0, 0
58.910425999999994, 0, 0, 0, 0, 1, 1, 0, 0
60.446953999999998, 0, 0, 0, 0, 0, 1, 0, 0
61.841834999999996, 1, 0, 0, 0, 0, 1, 0, 0
61.933778999999994, 1, 0, 0, 0, 0, 0, 0, 0
62.864911999999997, 1, 0, 0, 1, 0, 0, 0, 0
64.216940999999991, 1, 1, 0, 1, 0, 0, 0, 0
65.051733999999996, 0, 1, 0, 1, 0, 0, 0, 0
65.966517999999994, 0, 1, 0, 0, 0, 0, 0, 0
