Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 0, 0, 0, 1, 1, 0, 1, 0
0.237959000000000, 0, 0, 0, 1, 1, 1, 1, 0
1.875761000000000, 0, 0, 0, 0, 1, 1, 1, 0
2.055358000000000, 0, 0, 0, 0, 1, 1, 0, 0
3.931358000000000, 0, 0, 0, 0, 0, 1, 0, 0
4.173524000000000, 0, 0, 0, 0, 0, 1, 0, 1
4.380032000000000, 1, 0, 0, 0, 0, 1, 0, 1
4.968846000000000, 1, 1, 0, 0, 0, 1, 0, 1
5.059474000000000, 1, 1, 1, 0, 0, 1, 0, 1
6.426053000000000, 1, 1, 1, 0, 0, 0, 0, 1
7.360412999999999, 1, 1, 1, 0, 0, 0, 1, 1
7.693153000000000, 1, 1, 1, 1, 0, 0, 1, 1
8.548352000000000, 1, 1, 1, 1, 0, 0, 1, 0
8.940018999999999, 1, 1, 1, 1, 1, 0, 1, 0
9.905631999999999, 0, 1, 1, 1, 1, 0, 1, 0
10.670233000000000, 0, 1, 0, 1, 1, 0, 1, 0
11.670658999999999, 0, 1, 0, 1, 1, 1, 1, 0
11.746198000000000, 0, 0, 0, 1, 1, 1, 1, 0
12.163406999999999, 0, 0, 0, 1, 1, 1, 0, 0
12.738273000000000, 0, 0, 0, 0, 1, 1, 0, 0
15.401225000000000, 0, 0, 0, 0, 0, 1, 0, 0
15.559925999999999, 1, 0, 0, 0, 0, 1, 0, 0
15.776653999999999, 1, 0, 0, 0, 0, 1, 0, 1
16.181037000000000, 1, 0, 1, 0, 0, 1, 0, 1
16.651154999999999, 1, 1, 1, 0, 0, 1, 0, 1
17.404602000000001, 1, 1, 1, 0, 0, 1, 1, 1
17.920531999999998, 1, 1, 1, 0, 0, 0, 1, 1
18.553214999999998, 1, 1, 1, 1, 0, 0, 1, 1
20.148107000000000, 1, 1, 1, 1, 0, 0, 1, 0
20.407844000000001, 1, 1, 1, 1, 1, 0, 1, 0
20.854655999999999, 0, 1, 1, 1, 1, 0, 1, 0
21.794221000000000, 0, 1, 0, 1, 1, 0, 1, 0
21.949515999999999, 0, 1, 0, 1, 1, 0, 0, 0
22.916554999999999, 0, 1, 0, 1, 1, 1, 0, 0
22.986300000000000, 0, 0, 0, 1, 1, 1, 0, 0
23.912382999999998, 0, 0, 0, 0, 1, 1, 0, 0
26.507401999999999, 1, 0, 0, 0, 1, 1, 0, 0
27.066081000000001, 1, 0, 1, 0, 1, 1, 0, 0
27.069747999999997, 1, 0, 1, 0, 1, 1, 0, 1
27.233252000000000, 1, 0, 1, 0, 0, 1, 0, 1
27.256252000000000, 1, 0, 1, 0, 0, 1, 1, 1
27.891389000000000, 1, 1, 1, 0, 0, 1, 1, 1
28.731074000000000, 1, 1, 1, 0, 0, 0, 1, 1
29.977532000000000, 1, 1, 1, 1, 0, 0, 1, 1
31.258001999999998, 1, 1, 1, 1, 0, 0, 1, 0
31.801604999999999, 0, 1, 1, 1, 0, 0, 1, 0
32.057330999999998, 0, 1, 1, 1, 0, 0, 0, 0
32.384723000000001, 0, 1, 0, 1, 0, 0, 0, 0
32.481024999999995, 0, 1, 0, 1, 1, 0, 0, 0
33.726732999999996, 0, 1, 0, 1, 1, 1, 0, 0
34.732672999999998, 0, 0, 0, 1, 1, 1, 0, 0
35.271805000000001, 0, 0, 0, 0, 1, 1, 0, 0
37.455000999999996, 1, 0, 0, 0, 1, 1, 0, 0
37.556818999999997, 1, 0, 0, 0, 1, 1, 1, 0
37.656490999999995, 1, 0, 1, 0, 1, 1, 1, 0
38.177957999999997, 1, 0, 1, 0, 1, 1, 1, 1
39.366954000000000, 1, 0, 1, 0, 0, 1, 1, 1
39.890568999999999, 1, 1, 1, 0, 0, 1, 1, 1
39.912884999999996, 1, 1, 1, 0, 0, 0, 1, 1
41.086303999999998, 1, 1, 1, 1, 0, 0, 1, 1
42.423763000000001, 1, 1, 1, 1, 0, 0, 0, 1
42.487913999999996, 1, 1, 1, 1, 0, 0, 0, 0
42.979911999999999, 0, 1, 1, 1, 0, 0, 0, 0
43.270344999999999, 0, 1, 0, 1, 0, 0, 0, 0
44.676127000000001, 0, 1, 0, 1, 1, 0, 0, 0
45.158102999999997, 0, 1, 0, 1, 1, 1, 0, 0
46.129897999999997, 0, 1, 0, 0, 1, 1, 0, 0
