Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 0, 0, 0, 1, 0, 0, 0, 0
1.363777000000000, 0, 0, 0, 0, 0, 0, 0, 0
1.859004000000000, 0, 0, 0, 0, 0, 0, 0, 1
1.994150000000000, 0, 0, 0, 0, 0, 1, 0, 1
4.762008000000000, 0, 0, 0, 0, 0, 1, 0, 0
4.870799000000000, 0, 0, 0, 0, 0, 0, 0, 0
9.380635999999999, 0, 0, 1, 0, 0, 0, 0, 0
12.114946999999999, 0, 0, 0, 0, 0, 0, 0, 0
13.342271000000000, 0, 0, 0, 0, 1, 0, 0, 0
14.188727999999999, 0, 1, 0, 0, 1, 0, 0, 0
16.533583000000000, 0, 1, 0, 0, 0, 0, 0, 0
17.250398000000001, 0, 0, 0, 0, 0, 0, 0, 0
18.577369999999998, 0, 0, 0, 0, 0, 0, 1, 0
20.997995000000000, 1, 0, 0, 0, 0, 0, 1, 0
21.166688000000001, 1, 0, 0, 0, 0, 0, 0, 0
23.392412999999998, 1, 0, 0, 0, 0, 1, 0, 0
23.845172999999999, 1, 0, 0, 1, 0, 1, 0, 0
23.978109999999997, 0, 0, 0, 1, 0, 1, 0, 0
26.280987999999997, 0, 0, 0, 1, 0, 0, 0, 0
26.695611000000000, 0, 0, 0, 0, 0, 0, 0, 0
32.245731999999997, 0, 0, 1, 0, 0, 0, 0, 0
34.979487999999996, 0, 0, 0, 0, 0, 0, 0, 0
35.326138999999998, 0, 1, 0, 0, 0, 0, 0, 0
36.013982999999996, 0, 1, 0, 0, 1, 0, 0, 0
37.216364999999996, 0, 1, 0, 0, 1, 0, 0, 1
38.386991999999999, 0, 0, 0, 0, 1, 0, 0, 1
39.205044999999998, 0, 0, 0, 0, 0, 0, 0, 1
40.120805999999995, 0, 0, 0, 0, 0, 0, 0, 0
41.082245999999998, 0, 0, 0, 0, 0, 0, 1, 0
43.675906999999995, 0, 0, 0, 0, 0, 0, 0, 0
44.667057000000000, 0, 0, 0, 0, 0, 1, 0, 0
45.420046999999997, 1, 0, 0, 0, 0, 1, 0, 0
47.557949000000001, 1, 0, 0, 0, 0, 0, 0, 0
48.401871000000000, 0, 0, 0, 0, 0, 0, 0, 0
48.993094999999997, 0, 0, 0, 1, 0, 0, 0, 0
51.909002999999998, 0, 0, 0, 0, 0, 0, 0, 0
54.990342999999996, 0, 0, 1, 0, 0, 0, 0, 0
56.396848999999996, 0, 1, 1, 0, 0, 0, 0, 0
57.782088999999999, 0, 1, 0, 0, 0, 0, 0, 0
58.868499000000000, 0, 1, 0, 0, 1, 0, 0, 0
59.457533999999995, 0, 0, 0, 0, 1, 0, 0, 0
62.119481999999998, 0, 0, 0, 0, 0, 0, 0, 0
63.715346999999994, 0, 0, 0, 0, 0, 0, 1, 0
66.004252999999991, 0, 0, 0, 0, 0, 1, 1, 0
66.308706999999998, 0, 0, 0, 0, 0, 1, 0, 0
68.879643999999999, 0, 0, 0, 0, 0, 0, 0, 0
70.074139000000002, 1, 0, 0, 0, 0, 0, 0, 0
72.516246999999993, 1, 0, 0, 0, 0, 0, 0, 1
73.054195999999990, 0, 0, 0, 0, 0, 0, 0, 1
74.641210000000001, 0, 0, 0, 1, 0, 0, 0, 1
75.358079000000004, 0, 0, 0, 1, 0, 0, 0, 0
77.468351999999996, 0, 1, 0, 1, 0, 0, 0, 0
77.555428999999990, 0, 1, 0, 0, 0, 0, 0, 0
78.208697999999998, 0, 1, 1, 0, 0, 0, 0, 0
80.463779000000002, 0, 0, 1, 0, 0, 0, 0, 0
80.942049999999995, 0, 0, 0, 0, 0, 0, 0, 0
81.847189000000000, 0, 0, 0, 0, 1, 0, 0, 0
84.976846999999992, 0, 0, 0, 0, 0, 0, 0, 0
86.543300000000002, 0, 0, 0, 0, 0, 0, 1, 0
87.465859999999992, 0, 0, 0, 0, 0, 1, 1, 0
89.209404999999990, 0, 0, 0, 0, 0, 1, 0, 0
90.347251999999997, 0, 0, 0, 0, 0, 0, 0, 0
94.670822000000001, 1, 0, 0, 0, 0, 0, 0, 0
97.652068999999997, 0, 0, 0, 0, 0, 0, 0, 0
98.481223000000000, 0, 1, 0, 0, 0, 0, 0, 0
