Energy Intensity (lux),On-time,Off-time,Power Cycle Length
400,2.916,22.3,25.216
500,3.101,16.39,19.491
600,3.292,12.86,16.152
700,3.541,10.29,13.831
800,3.855,8.711,12.566
900,4.104,7.517,11.621
1000,4.735,6.509,11.244
1100,5.359,6.065,11.424
1200,5.732,5.252,10.984
1300,7.174,5,12.174
1400,7.922,4.367,12.289
